index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5366568914956011,0.5366568914956011,0.5366568914956011,0.5366568914956011,0.5507845334827683,0.5374097007223941,0.5043969387004195,0.5508652628655522,0.5366568914956011,0.5040261346453024
1,MAPS,1,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.519959349593496,0.5084451324389405,0.42505018065034117,0.5200081062394202,0.5073313782991202,0.4244123419088778
2,MAPS,2,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5225773195876289,0.5113003095975233,0.44104396305493665,0.5226284124920639,0.5102639296187683,0.440467130000238
3,MAPS,3,ind,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5340456674473067,0.5200034399724802,0.46432950191570876,0.5341140879215972,0.5190615835777126,0.46382737272614916
4,haryoaw/COPAL,0,ind,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5055446623093682,0.503257808499744,0.4458636428469548,0.505552632502017,0.5026833631484794,0.4455462142419183
5,haryoaw/COPAL,1,ind,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4793205957053798,0.4908282130056324,0.40822830653339126,0.4792945995277215,0.49016100178890876,0.4078343993446628
6,haryoaw/COPAL,2,ind,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991408934707904,0.49914234511008704,0.4989115123575361,0.49914243033399114,0.4991055456171735,0.49889387297029636
7,haryoaw/COPAL,3,ind,0.4776386404293381,0.4776386404293381,0.4776386404293381,0.4776386404293381,0.47764654642344745,0.4776625704045059,0.47755671634147595,0.47764707348972146,0.4776386404293381,0.4775450129003528
8,MABL/id,0,ind,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5229437336669103,0.5228070175438596,0.5220950877885184,0.5229437336669103,0.5228070175438596,0.5220950877885184
9,MABL/id,1,ind,0.5307017543859649,0.5307017543859649,0.5307017543859649,0.5307017543859649,0.5308461588414832,0.5307017543859649,0.5301518628681305,0.5308461588414832,0.5307017543859649,0.5301518628681305
10,MABL/id,2,ind,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5291998224104368,0.5289473684210526,0.5279270136822356,0.5291998224104368,0.5289473684210526,0.5279270136822355
11,MABL/id,3,ind,0.531578947368421,0.531578947368421,0.531578947368421,0.531578947368421,0.5318439707507232,0.531578947368421,0.5306022996446902,0.5318439707507232,0.531578947368421,0.5306022996446901
12,MABL/jv,0,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5170330668604651,0.5166666666666666,0.5140533535904196,0.5170330668604651,0.5166666666666667,0.5140533535904196
13,MABL/jv,1,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5273672687465791,0.5266666666666666,0.52361782071927,0.527367268746579,0.5266666666666666,0.52361782071927
14,MABL/jv,2,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5293944738389182,0.5283333333333333,0.5240377742459026,0.5293944738389184,0.5283333333333333,0.5240377742459026
15,MABL/jv,3,ind,0.51,0.51,0.51,0.51,0.5104461674172431,0.51,0.504711418591853,0.510446167417243,0.51,0.5047114185918531
16,MABL/su,0,ind,0.515,0.515,0.515,0.515,0.5200895846664385,0.515,0.4822048701212044,0.5200895846664385,0.515,0.4822048701212044
17,MABL/su,1,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5313954050007246,0.5216666666666667,0.48149865556997506,0.5313954050007245,0.5216666666666666,0.48149865556997506
18,MABL/su,2,ind,0.51,0.51,0.51,0.51,0.5141163184641445,0.51,0.47147017581706396,0.5141163184641445,0.51,0.4714701758170639
19,MABL/su,3,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.527156470646324,0.5183333333333333,0.4757512267239894,0.527156470646324,0.5183333333333333,0.4757512267239894
20,IndoStoryCloze,0,ind,0.34449339207048457,0.34449339207048457,0.34449339207048457,0.34449339207048457,0.5,0.17224669603524229,0.2562254259501966,1.0,0.34449339207048457,0.5124508519003932
21,IndoStoryCloze,1,ind,0.34273127753303967,0.34273127753303967,0.34273127753303967,0.34273127753303967,0.5,0.17136563876651983,0.25524934383202097,1.0,0.34273127753303967,0.5104986876640419
22,IndoStoryCloze,2,ind,0.35066079295154184,0.35066079295154184,0.35066079295154184,0.35066079295154184,0.5,0.17533039647577092,0.2596216568819309,1.0,0.35066079295154184,0.5192433137638618
23,IndoStoryCloze,3,ind,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.5,0.17312775330396477,0.25719895287958117,1.0,0.34625550660792953,0.5143979057591623
24,IndoMMLU,0,ind,0.24003738068219746,0.24003738068219746,0.24003738068219746,0.24003738068219746,0.21487951745094339,0.2004932933112392,0.1358751482501163,0.22598526297749147,0.24003738068219746,0.1548909142559318
25,IndoMMLU,1,ind,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.21674262024958582,0.20070767144846396,0.12906251796726514,0.22532474068927963,0.2411721513917629,0.14755826674993353
26,IndoMMLU,2,ind,0.2383018490087444,0.2383018490087444,0.2383018490087444,0.2383018490087444,0.20424361431380392,0.19781165851112636,0.12919334201189617,0.2180752336050505,0.2383018490087444,0.14910193539577157
