index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.47474747474747475,0.4886480908152735,0.40756050802779775,0.47480671820847775,0.4897360703812317,0.408207559699872
1,MAPS,1,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043305728088336,0.5043171654626764,0.5039722501958152,0.5043341651336041,0.5043988269794721,0.5040149078741808
2,MAPS,2,ind,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5222730471498944,0.5217750257997936,0.5191989965831928,0.5222675782821978,0.5219941348973607,0.5193065019029686
3,MAPS,3,ind,0.533724340175953,0.533724340175953,0.533724340175953,0.533724340175953,0.5406455974311306,0.5330925352597179,0.510680925950995,0.5405985140484424,0.533724340175953,0.5109923234405215
4,haryoaw/COPAL,0,ind,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5156921539230386,0.512058371735791,0.4818538324420677,0.5157072626477459,0.5116279069767442,0.4816316378559881
5,haryoaw/COPAL,1,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5161726033946927,0.5086597542242703,0.4437931695738853,0.5161939223289429,0.5080500894454383,0.44345497525877187
6,haryoaw/COPAL,2,ind,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.49197103678072535,0.49198028673835126,0.4918181818181818,0.49197214868736555,0.4919499105545617,0.49180354529191733
7,haryoaw/COPAL,3,ind,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.49553239970301344,0.49553251408090115,0.49552611367127497,0.4955339569087286,0.49552772808586765,0.49552449925668224
8,MABL/id,0,ind,0.5412280701754386,0.5412280701754386,0.5412280701754386,0.5412280701754386,0.5414640412814076,0.5412280701754386,0.5405744245236567,0.5414640412814076,0.5412280701754386,0.5405744245236567
9,MABL/id,1,ind,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5290447205314212,0.5289473684210526,0.5285523187712695,0.5290447205314213,0.5289473684210526,0.5285523187712696
10,MABL/id,2,ind,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5370629543850088,0.5368421052631579,0.5361511146182678,0.5370629543850088,0.5368421052631579,0.5361511146182679
11,MABL/id,3,ind,0.5324561403508772,0.5324561403508772,0.5324561403508772,0.5324561403508772,0.5325291281453307,0.5324561403508772,0.5321937282455302,0.5325291281453307,0.5324561403508772,0.5321937282455301
12,MABL/jv,0,ind,0.54,0.54,0.54,0.54,0.5407239819004525,0.54,0.5379464285714286,0.5407239819004525,0.54,0.5379464285714285
13,MABL/jv,1,ind,0.55,0.55,0.55,0.55,0.5515487536656891,0.55,0.54659442031257,0.5515487536656891,0.55,0.54659442031257
14,MABL/jv,2,ind,0.54,0.54,0.54,0.54,0.5411428571428571,0.54,0.5367832167832168,0.5411428571428571,0.54,0.5367832167832168
15,MABL/jv,3,ind,0.545,0.545,0.545,0.545,0.5465651049152055,0.545,0.5411443378387841,0.5465651049152055,0.545,0.5411443378387842
16,MABL/su,0,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5568397120121258,0.5416666666666667,0.5088920306570429,0.5568397120121258,0.5416666666666666,0.5088920306570429
17,MABL/su,1,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5617192514689182,0.5416666666666666,0.50114736106954,0.5617192514689181,0.5416666666666666,0.5011473610695402
18,MABL/su,2,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.549202070765413,0.5383333333333333,0.511347498963598,0.5492020707654129,0.5383333333333333,0.511347498963598
19,MABL/su,3,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5397946285054386,0.5283333333333333,0.49173698436597335,0.5397946285054386,0.5283333333333333,0.49173698436597335
20,IndoStoryCloze,0,ind,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
21,IndoStoryCloze,1,ind,0.3392070484581498,0.3392070484581498,0.3392070484581498,0.3392070484581498,0.5,0.1696035242290749,0.25328947368421056,1.0,0.3392070484581498,0.5065789473684211
22,IndoStoryCloze,2,ind,0.33303964757709253,0.33303964757709253,0.33303964757709253,0.33303964757709253,0.5,0.16651982378854627,0.24983476536682092,1.0,0.33303964757709253,0.49966953073364184
23,IndoStoryCloze,3,ind,0.32863436123348017,0.32863436123348017,0.32863436123348017,0.32863436123348017,0.5,0.16431718061674008,0.2473474801061008,1.0,0.32863436123348017,0.4946949602122016
24,IndoMMLU,0,ind,0.243641946465523,0.243641946465523,0.243641946465523,0.243641946465523,0.2201947042285927,0.20073912950631043,0.11388110485140908,0.2320512993870053,0.243641946465523,0.13259316633794868
25,IndoMMLU,1,ind,0.24437620986583006,0.24437620986583006,0.24437620986583006,0.24437620986583006,0.21815418026563113,0.20197461775886616,0.1133580576575397,0.2284655074268077,0.24437620986583006,0.13065864088158682
26,IndoMMLU,2,ind,0.24537747813897604,0.24537747813897604,0.24537747813897604,0.24537747813897604,0.21146134777321773,0.20036412663994724,0.10512280895799597,0.22741637221313205,0.24537747813897604,0.12554100527272677
