index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.6037764350453172,0.5118163054695563,0.3735502434705622,0.603494254502928,0.5131964809384164,0.3744176114051451
1,MAPS,1,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.752212389380531,0.5058823529411764,0.346922024623803,0.7514857394960164,0.5073313782991202,0.3478711923970297
2,MAPS,2,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.6529761904761905,0.5088407292741658,0.3581628627782474,0.6525450356095517,0.5102639296187683,0.35907913426523846
3,MAPS,3,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.752212389380531,0.5058823529411764,0.346922024623803,0.7514857394960164,0.5073313782991202,0.3478711923970297
4,haryoaw/COPAL,0,ind,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4859387526054193,0.48877368151561695,0.4614425849570162,0.4859290580220813,0.4883720930232558,0.4612271488924862
5,haryoaw/COPAL,1,ind,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.4969689028651293,0.49777905785970306,0.46158803064319864,0.4969676996333424,0.49731663685152055,0.4613399153223075
6,haryoaw/COPAL,2,ind,0.5491949910554562,0.5491949910554562,0.5491949910554562,0.5491949910554562,0.5492012084282751,0.549199948796723,0.5491935483870968,0.5492032808858816,0.5491949910554562,0.5491921057187373
7,haryoaw/COPAL,3,ind,0.5402504472271914,0.5402504472271914,0.5402504472271914,0.5402504472271914,0.5402665641419967,0.5402201740911419,0.5401032713257208,0.5402657158833227,0.5402504472271914,0.5401179889158679
8,MABL/id,0,ind,0.5859649122807018,0.5859649122807018,0.5859649122807018,0.5859649122807018,0.5864341948900773,0.5859649122807018,0.5854021617523324,0.5864341948900773,0.5859649122807018,0.5854021617523324
9,MABL/id,1,ind,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5619596004770424,0.5614035087719298,0.5604171872252608,0.5619596004770424,0.5614035087719298,0.5604171872252608
10,MABL/id,2,ind,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5789156832670128,0.5780701754385964,0.5769369942111797,0.5789156832670128,0.5780701754385965,0.5769369942111797
11,MABL/id,3,ind,0.5701754385964912,0.5701754385964912,0.5701754385964912,0.5701754385964912,0.5708109719737626,0.5701754385964912,0.5692088434807556,0.5708109719737627,0.5701754385964912,0.5692088434807555
12,MABL/jv,0,ind,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5374727470930232,0.5366666666666666,0.5341614906832297,0.5374727470930232,0.5366666666666666,0.5341614906832297
13,MABL/jv,1,ind,0.55,0.55,0.55,0.55,0.550999592003264,0.55,0.5477841422972565,0.550999592003264,0.55,0.5477841422972566
14,MABL/jv,2,ind,0.54,0.54,0.54,0.54,0.5408793604651163,0.54,0.5375128468653647,0.5408793604651163,0.54,0.5375128468653647
15,MABL/jv,3,ind,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5547345374931583,0.5533333333333333,0.5504562533548041,0.5547345374931582,0.5533333333333333,0.5504562533548042
16,MABL/su,0,ind,0.5633333333333334,0.5633333333333334,0.5633333333333334,0.5633333333333334,0.5785383597883598,0.5633333333333334,0.5411237214515903,0.5785383597883599,0.5633333333333334,0.5411237214515903
17,MABL/su,1,ind,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5726030617748337,0.5583333333333333,0.5355101063068379,0.5726030617748338,0.5583333333333333,0.5355101063068379
18,MABL/su,2,ind,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5661375661375662,0.5533333333333333,0.5306151043855962,0.5661375661375662,0.5533333333333333,0.5306151043855962
19,MABL/su,3,ind,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5756553388132335,0.5616666666666666,0.5404227062637065,0.5756553388132336,0.5616666666666666,0.5404227062637065
20,IndoStoryCloze,0,ind,0.39823788546255506,0.39823788546255506,0.39823788546255506,0.39823788546255506,0.5,0.19911894273127753,0.2848141146817896,1.0,0.39823788546255506,0.5696282293635792
