index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.46090245174752215,0.47421740626074993,0.42568285958920216,0.46097366210950946,0.4750733137829912,0.42617676413114003
1,MAPS,1,ind,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4846264367816092,0.4889576883384933,0.4506111111111111,0.4846546668014966,0.4897360703812317,0.4510410557184751
2,MAPS,2,ind,0.44868035190615835,0.44868035190615835,0.44868035190615835,0.44868035190615835,0.43492118184167455,0.4480220158238734,0.4190590111642743,0.4350111110577823,0.44868035190615835,0.4194437039011819
3,MAPS,3,ind,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.46571691176470587,0.4743378052975576,0.4394177343068375,0.4657716275659824,0.4750733137829912,0.4398323340681881
4,haryoaw/COPAL,0,ind,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.48269215404282517,0.48890809011776754,0.43823438466295606,0.4826751990010926,0.4883720930232558,0.4379341588643914
5,haryoaw/COPAL,1,ind,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5066216699902848,0.5033154121863799,0.4321596655850799,0.5066316403873526,0.5026833631484794,0.43180167727257535
6,haryoaw/COPAL,2,ind,0.590339892665474,0.590339892665474,0.590339892665474,0.590339892665474,0.5903428586060326,0.5903289810547875,0.5903189157185604,0.5903424349002385,0.590339892665474,0.5903241599552889
7,haryoaw/COPAL,3,ind,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5653028556793444,0.5652777777777778,0.5652450831346317,0.5653021569763433,0.5652951699463328,0.5652534309365819
8,MABL/id,0,ind,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.6157314865821988,0.6131578947368421,0.6109952606635072,0.6157314865821988,0.6131578947368421,0.6109952606635072
9,MABL/id,1,ind,0.6,0.6,0.6,0.6,0.6031756113051763,0.6000000000000001,0.5968982630272952,0.6031756113051763,0.6,0.5968982630272953
10,MABL/id,2,ind,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.607487679774716,0.6052631578947368,0.603210207320733,0.607487679774716,0.6052631578947368,0.6032102073207329
11,MABL/id,3,ind,0.6026315789473684,0.6026315789473684,0.6026315789473684,0.6026315789473684,0.6048548635110106,0.6026315789473684,0.6005139586496905,0.6048548635110105,0.6026315789473684,0.6005139586496905
12,MABL/jv,0,ind,0.545,0.545,0.545,0.545,0.546810527167443,0.5449999999999999,0.5405574457462294,0.5468105271674429,0.545,0.5405574457462294
13,MABL/jv,1,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5292461377894508,0.5283333333333333,0.5246240806739252,0.5292461377894507,0.5283333333333333,0.5246240806739252
14,MABL/jv,2,ind,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5558763270627678,0.5533333333333333,0.5481927710843374,0.5558763270627677,0.5533333333333333,0.5481927710843374
15,MABL/jv,3,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5327680367921817,0.5316666666666666,0.5276980180684921,0.5327680367921815,0.5316666666666666,0.5276980180684921
16,MABL/su,0,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5518088029913952,0.5383333333333333,0.5062256566574863,0.5518088029913952,0.5383333333333333,0.5062256566574863
17,MABL/su,1,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5533073749594399,0.5383333333333333,0.5034640997373916,0.55330737495944,0.5383333333333333,0.5034640997373917
18,MABL/su,2,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5424113454069257,0.5316666666666667,0.49999851719607713,0.5424113454069257,0.5316666666666666,0.49999851719607713
19,MABL/su,3,ind,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5593932748538012,0.5433333333333333,0.5102245102245103,0.5593932748538012,0.5433333333333333,0.5102245102245103
20,IndoStoryCloze,0,ind,0.3894273127753304,0.3894273127753304,0.3894273127753304,0.3894273127753304,0.5,0.1947136563876652,0.2802790107799619,1.0,0.3894273127753304,0.5605580215599238
21,IndoStoryCloze,1,ind,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.5,0.19779735682819383,0.2834595959595959,1.0,0.39559471365638765,0.5669191919191918
22,IndoStoryCloze,2,ind,0.38502202643171807,0.38502202643171807,0.3850220264317181,0.38502202643171807,0.5,0.19251101321585903,0.2779898218829516,1.0,0.38502202643171807,0.5559796437659033
23,IndoStoryCloze,3,ind,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.5,0.19295154185022026,0.2784488239033694,1.0,0.3859030837004405,0.5568976478067388
24,IndoMMLU,0,ind,0.24991656097723783,0.24991656097723783,0.24991656097723783,0.24991656097723783,0.2270229096664793,0.2045381990532597,0.1327822627100234,0.24510688753639778,0.24991656097723783,0.15878372553567802
25,IndoMMLU,1,ind,0.2547893999065483,0.2547893999065483,0.2547893999065483,0.2547893999065483,0.25408656749805014,0.20927442330070942,0.144637678716644,0.2648196895692346,0.2547893999065483,0.17173025126945377
26,IndoMMLU,2,ind,0.2581269608170349,0.2581269608170349,0.2581269608170349,0.2581269608170349,0.26108239528656607,0.21403167080517874,0.15779412324779135,0.2698811867937523,0.2581269608170349,0.1837651518937928
