index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5181541582150102,0.5092363261093911,0.44104396305493665,0.5181211447062392,0.5102639296187683,0.4416207961096353
1,MAPS,1,ind,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.46501983411467723,0.47997936016511866,0.4181728794933341,0.4650912178918414,0.4809384164222874,0.4187332860730569
2,MAPS,2,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5009505703422052,0.500670794633643,0.46140552995391704,0.5009533579385168,0.501466275659824,0.4618362906604321
3,MAPS,3,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.525974025974026,0.5090815273477812,0.41434844760739226,0.5259168983509159,0.5102639296187683,0.4150434873321124
4,haryoaw/COPAL,0,ind,0.5295169946332737,0.5295169946332737,0.5295169946332737,0.5295169946332737,0.5367295597484276,0.5299027137736816,0.5067884232809203,0.5367594874045072,0.5295169946332737,0.5065990185196507
5,haryoaw/COPAL,1,ind,0.5259391771019678,0.5259391771019678,0.5259391771019678,0.5259391771019678,0.5385153278138286,0.5264400921658986,0.4859011955786149,0.5385555072090742,0.5259391771019678,0.48564454185090117
6,haryoaw/COPAL,2,ind,0.5831842576028623,0.5831842576028623,0.5831842576028623,0.5831842576028623,0.5832202304737516,0.5831989247311828,0.5831629142463955,0.583224227459406,0.5831842576028623,0.5831575784072789
7,haryoaw/COPAL,3,ind,0.5724508050089445,0.5724508050089445,0.5724508050089445,0.5724508050089445,0.5724839948783611,0.5724654377880185,0.5724289120381483,0.5724876826416296,0.5724508050089445,0.5724234387954492
8,MABL/id,0,ind,0.624561403508772,0.624561403508772,0.624561403508772,0.624561403508772,0.625775413035641,0.6245614035087719,0.6236532599439707,0.6257754130356411,0.624561403508772,0.6236532599439707
9,MABL/id,1,ind,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.6300857794916188,0.6271929824561404,0.6251088112970307,0.6300857794916188,0.6271929824561403,0.6251088112970307
10,MABL/id,2,ind,0.6236842105263158,0.6236842105263158,0.6236842105263158,0.6236842105263158,0.625417042486057,0.6236842105263158,0.6223798577882513,0.625417042486057,0.6236842105263158,0.6223798577882514
11,MABL/id,3,ind,0.6219298245614036,0.6219298245614036,0.6219298245614036,0.6219298245614036,0.6233424352152538,0.6219298245614036,0.6208442300554295,0.6233424352152539,0.6219298245614036,0.6208442300554295
12,MABL/jv,0,ind,0.555,0.555,0.555,0.555,0.5567719145324632,0.5549999999999999,0.5515004577382968,0.5567719145324632,0.555,0.5515004577382968
13,MABL/jv,1,ind,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5626191738782141,0.5616666666666666,0.559993419419961,0.562619173878214,0.5616666666666666,0.5599934194199608
14,MABL/jv,2,ind,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5636533587182163,0.5616666666666666,0.5582195520043898,0.5636533587182163,0.5616666666666666,0.5582195520043899
15,MABL/jv,3,ind,0.56,0.56,0.56,0.56,0.5611995104039168,0.56,0.5578333835795398,0.5611995104039168,0.56,0.5578333835795397
16,MABL/su,0,ind,0.555,0.555,0.555,0.555,0.5805677175735282,0.5549999999999999,0.5166531397934462,0.5805677175735282,0.555,0.5166531397934462
17,MABL/su,1,ind,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.581673179168535,0.5566666666666666,0.5199191442769309,0.581673179168535,0.5566666666666666,0.5199191442769309
18,MABL/su,2,ind,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.602747909199522,0.5716666666666667,0.5366238449402749,0.6027479091995221,0.5716666666666667,0.5366238449402749
19,MABL/su,3,ind,0.57,0.57,0.57,0.57,0.6008903977964256,0.5700000000000001,0.5343576662535645,0.6008903977964256,0.57,0.5343576662535645
20,IndoStoryCloze,0,ind,0.4079295154185022,0.4079295154185022,0.4079295154185022,0.4079295154185022,0.5,0.2039647577092511,0.28973717146433037,1.0,0.4079295154185022,0.5794743429286607
21,IndoStoryCloze,1,ind,0.4017621145374449,0.4017621145374449,0.40176211453744487,0.4017621145374449,0.5,0.20088105726872246,0.28661219358893775,1.0,0.4017621145374449,0.5732243871778755
22,IndoStoryCloze,2,ind,0.39295154185022024,0.39295154185022024,0.39295154185022024,0.39295154185022024,0.5,0.19647577092511012,0.2820999367488931,1.0,0.39295154185022024,0.5641998734977862
23,IndoStoryCloze,3,ind,0.3832599118942731,0.3832599118942731,0.38325991189427316,0.3832599118942731,0.5,0.19162995594713655,0.2770700636942675,1.0,0.3832599118942731,0.554140127388535
24,IndoMMLU,0,ind,0.2513183365596422,0.2513183365596422,0.2513183365596422,0.2513183365596422,0.22562544711914848,0.20416258280220684,0.11297905142223932,0.24410158539435908,0.2513183365596422,0.13758925902078306
25,IndoMMLU,1,ind,0.25465589747012884,0.25465589747012884,0.25465589747012884,0.25465589747012884,0.2092684270522601,0.20696873553652315,0.1188399210770352,0.22565697817641073,0.25465589747012884,0.14462683905810547
26,IndoMMLU,2,ind,0.2554569120886456,0.2554569120886456,0.2554569120886456,0.2554569120886456,0.22995343520513217,0.2080843315886251,0.1214152733724599,0.2485986335740408,0.2554569120886456,0.14672970550450617
