index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.4604105571847507,0.4604105571847507,0.4604105571847507,0.4604105571847507,0.45498106499729496,0.4599243206054352,0.44490055913369664,0.45502911360072384,0.4604105571847507,0.4451726643626625
1,MAPS,1,ind,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49829931972789115,0.4983316133470932,0.49603733632945857,0.4983043070600675,0.49853372434017595,0.49614135249657176
2,MAPS,2,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5132334406945807,0.5130030959752322,0.5109717326698459,0.5132326193666659,0.5131964809384164,0.5110684608554359
3,MAPS,3,ind,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5194841408156152,0.5192294461644307,0.5175638371290545,0.5194949756165871,0.5190615835777126,0.5174850083685988
4,haryoaw/COPAL,0,ind,0.47048300536672627,0.47048300536672627,0.47048300536672627,0.47048300536672627,0.4657622739018088,0.47082693292370714,0.4503441494591937,0.4657403170112742,0.47048300536672627,0.4501559358525812
5,haryoaw/COPAL,1,ind,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5192498758072528,0.5138888888888888,0.4772683517148436,0.5192696488922184,0.5134168157423972,0.47702244379628894
6,haryoaw/COPAL,2,ind,0.5599284436493739,0.5599284436493739,0.5599284436493739,0.5599284436493739,0.5600436400975484,0.5598822324628776,0.5596113445378151,0.560039667806232,0.5599284436493739,0.5596324844785857
7,haryoaw/COPAL,3,ind,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.565446841294299,0.5652457757296467,0.5649387460965649,0.565441948670171,0.5652951699463328,0.5649610225871755
8,MABL/id,0,ind,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5977453159733249,0.5947368421052632,0.5915942928039702,0.5977453159733248,0.5947368421052631,0.5915942928039702
9,MABL/id,1,ind,0.6070175438596491,0.6070175438596491,0.6070175438596491,0.6070175438596491,0.6087527680816724,0.6070175438596491,0.6054436904364593,0.6087527680816724,0.6070175438596491,0.6054436904364593
10,MABL/id,2,ind,0.6043859649122807,0.6043859649122807,0.6043859649122807,0.6043859649122807,0.6068757858513665,0.6043859649122807,0.6020683714245247,0.6068757858513666,0.6043859649122807,0.6020683714245247
11,MABL/id,3,ind,0.606140350877193,0.606140350877193,0.606140350877193,0.606140350877193,0.6075387853746004,0.606140350877193,0.6048557367557656,0.6075387853746004,0.606140350877193,0.6048557367557658
12,MABL/jv,0,ind,0.535,0.535,0.535,0.535,0.5356016681924525,0.5349999999999999,0.5330270392407923,0.5356016681924525,0.535,0.5330270392407923
13,MABL/jv,1,ind,0.545,0.545,0.545,0.545,0.5459438917312339,0.545,0.5426510047438091,0.5459438917312339,0.545,0.5426510047438091
14,MABL/jv,2,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5328526472317322,0.5316666666666667,0.5274014648872742,0.5328526472317321,0.5316666666666666,0.5274014648872744
15,MABL/jv,3,ind,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.547427616423506,0.5466666666666666,0.5448409732370955,0.547427616423506,0.5466666666666666,0.5448409732370955
16,MABL/su,0,ind,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5580999318828385,0.5483333333333333,0.5285193594126499,0.5580999318828384,0.5483333333333333,0.5285193594126499
17,MABL/su,1,ind,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5616666666666666,0.5751309715585278,0.5616666666666666,0.5411069848867743,0.5751309715585277,0.5616666666666666,0.5411069848867743
18,MABL/su,2,ind,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5422797226450196,0.5333333333333333,0.5072677999507268,0.5422797226450194,0.5333333333333333,0.5072677999507268
19,MABL/su,3,ind,0.565,0.565,0.565,0.565,0.579192105156286,0.565,0.5445966656100689,0.579192105156286,0.565,0.5445966656100688
20,IndoStoryCloze,0,ind,0.44757709251101324,0.44757709251101324,0.44757709251101324,0.44757709251101324,0.5,0.22378854625550662,0.3091905051734632,1.0,0.44757709251101324,0.6183810103469264
21,IndoStoryCloze,1,ind,0.4431718061674009,0.4431718061674009,0.4431718061674009,0.4431718061674009,0.5,0.22158590308370044,0.3070818070818071,1.0,0.4431718061674009,0.6141636141636142
22,IndoStoryCloze,2,ind,0.41409691629955947,0.41409691629955947,0.41409691629955947,0.41409691629955947,0.5,0.20704845814977973,0.29283489096573206,1.0,0.41409691629955947,0.5856697819314641
23,IndoStoryCloze,3,ind,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.5,0.20792951541850221,0.2937149968886123,1.0,0.41585903083700443,0.5874299937772246
24,IndoMMLU,0,ind,0.239903878245778,0.239903878245778,0.239903878245778,0.239903878245778,0.21377428234487006,0.20284836432231082,0.15029262696934736,0.2282161292121452,0.239903878245778,0.1698391599490517
25,IndoMMLU,1,ind,0.246378746412122,0.246378746412122,0.246378746412122,0.246378746412122,0.22908516485036395,0.20090834798782353,0.10248616909751111,0.24323744197195754,0.246378746412122,0.12286673137619133
26,IndoMMLU,2,ind,0.24457646352045925,0.24457646352045925,0.24457646352045925,0.24457646352045925,0.21178752935469852,0.2005466748207693,0.11019887768403566,0.22404858513811532,0.24457646352045925,0.1305215909437562
