index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5601173020527859,0.5601173020527859,0.5601173020527859,0.5601173020527859,0.5614874815905744,0.5603199174406605,0.5581069873522704,0.5615166343466975,0.5601173020527859,0.5580195823652915
1,MAPS,1,ind,0.5425219941348973,0.5425219941348973,0.5425219941348973,0.5425219941348973,0.542509633911368,0.54250085999312,0.5424865831842576,0.5425121059560738,0.5425219941348973,0.5424983868344708
2,MAPS,2,ind,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5484015433374673,0.5483316133470932,0.5481967100282195,0.5484004320633692,0.5483870967741935,0.5482239081347873
3,MAPS,3,ind,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5544220031708831,0.5543171654626763,0.5540642852226582,0.554433323421376,0.5542521994134897,0.5540374403382536
4,haryoaw/COPAL,0,ind,0.47584973166368516,0.47584973166368516,0.47584973166368516,0.47584973166368516,0.4741586871090939,0.47609447004608296,0.4659787091830912,0.4741476345303058,0.47584973166368516,0.4658488273083465
5,haryoaw/COPAL,1,ind,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.4936185024752475,0.49366359447004604,0.49280389862297813,0.4936210624081192,0.4937388193202147,0.4928428536520297
6,haryoaw/COPAL,2,ind,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919681287149006,0.4919738863287251,0.4918702309622574,0.49196934325892316,0.4919499105545617,0.4918588481633568
7,haryoaw/COPAL,3,ind,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991166077738516,0.4991167434715822,0.4990911185642234,0.49911818808194836,0.4991055456171735,0.49908630954657335
8,MABL/id,0,ind,0.5271929824561403,0.5271929824561403,0.5271929824561403,0.5271929824561403,0.5274485436893204,0.5271929824561403,0.5260898906735052,0.5274485436893204,0.5271929824561403,0.5260898906735053
9,MABL/id,1,ind,0.5394736842105263,0.5394736842105263,0.5394736842105263,0.5394736842105263,0.539640714491038,0.5394736842105263,0.5389880537439022,0.5396407144910379,0.5394736842105263,0.5389880537439022
10,MABL/id,2,ind,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.5442568574836016,0.5438596491228069,0.5428338747142711,0.5442568574836016,0.543859649122807,0.5428338747142711
11,MABL/id,3,ind,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5477974060822898,0.5473684210526315,0.546350537216469,0.5477974060822898,0.5473684210526316,0.546350537216469
12,MABL/jv,0,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5286391356596547,0.5283333333333333,0.5270708753088105,0.5286391356596547,0.5283333333333333,0.5270708753088104
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5235383787661406,0.5233333333333333,0.5222929936305732,0.5235383787661406,0.5233333333333333,0.5222929936305732
14,MABL/jv,2,ind,0.52,0.52,0.52,0.52,0.5202602314168656,0.52,0.5184537013298258,0.5202602314168655,0.52,0.5184537013298258
15,MABL/jv,3,ind,0.52,0.52,0.52,0.52,0.5203261213243597,0.52,0.5180669128392775,0.5203261213243597,0.52,0.5180669128392776
16,MABL/su,0,ind,0.53,0.53,0.53,0.53,0.5357142857142858,0.53,0.5104166666666667,0.5357142857142857,0.53,0.5104166666666666
17,MABL/su,1,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5317460317460317,0.5266666666666666,0.5069444444444444,0.5317460317460317,0.5266666666666666,0.5069444444444445
18,MABL/su,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.527603974972396,0.5233333333333333,0.5041551566707891,0.527603974972396,0.5233333333333333,0.504155156670789
19,MABL/su,3,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5265205091937766,0.5233333333333333,0.5085685483870968,0.5265205091937766,0.5233333333333333,0.5085685483870968
20,IndoStoryCloze,0,ind,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
21,IndoStoryCloze,1,ind,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
22,IndoStoryCloze,2,ind,0.35506607929515416,0.35506607929515416,0.35506607929515416,0.35506607929515416,0.5,0.17753303964757708,0.26202860858257476,1.0,0.35506607929515416,0.5240572171651495
23,IndoStoryCloze,3,ind,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.5,0.17312775330396477,0.25719895287958117,1.0,0.34625550660792953,0.5143979057591623
24,IndoMMLU,0,ind,0.2506508243775449,0.2506508243775449,0.2506508243775449,0.2506508243775449,0.2447758559498757,0.20444678940988803,0.10602804251143857,0.2598011483241275,0.2506508243775449,0.1270120273454324
25,IndoMMLU,1,ind,0.2516520926506909,0.2516520926506909,0.2516520926506909,0.2516520926506909,0.24568807253652297,0.2058070926920069,0.1135680003391285,0.2569938009555812,0.2516520926506909,0.13510432496712385
26,IndoMMLU,2,ind,0.253120619451305,0.253120619451305,0.253120619451305,0.253120619451305,0.2488246859745284,0.20725194806330297,0.11929813114580431,0.26372759460856077,0.253120619451305,0.14166211098815756
