index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.499211356466877,0.4997936016511868,0.3859737798136156,0.4992136692045107,0.49853372434017595,0.3852028212894611
1,MAPS,1,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.47644397125365984,0.48782249742002065,0.4169915101067831,0.4764002600814745,0.4868035190615836,0.4163998829122509
2,MAPS,2,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5192307692307692,0.5028207774337805,0.3673607473371748,0.5192871644484547,0.501466275659824,0.36650657199754005
3,MAPS,3,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.519959349593496,0.5084451324389405,0.42505018065034117,0.5200081062394202,0.5073313782991202,0.4244123419088778
4,haryoaw/COPAL,0,ind,0.47942754919499103,0.47942754919499103,0.47942754919499103,0.47942754919499103,0.45285766290498725,0.4801075268817204,0.3919756893439038,0.4527951455254814,0.47942754919499103,0.39156318057102135
5,haryoaw/COPAL,1,ind,0.4740608228980322,0.4740608228980322,0.4740608228980322,0.4740608228980322,0.47032251364823163,0.4743919610855095,0.45557719828271587,0.4703044541832568,0.4740608228980322,0.4553977456165478
6,haryoaw/COPAL,2,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5081914344685242,0.5081285202252944,0.507141597601834,0.5081943190608321,0.5080500894454383,0.5071037437750171
7,haryoaw/COPAL,3,ind,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.4955703211517165,0.4955965181771633,0.49481476733752083,0.49557131168813157,0.49552772808586765,0.4947808168256948
8,MABL/id,0,ind,0.506140350877193,0.506140350877193,0.506140350877193,0.506140350877193,0.506161001324847,0.506140350877193,0.5057261740562845,0.5061610013248469,0.506140350877193,0.5057261740562845
9,MABL/id,1,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5167161101318458,0.5166666666666667,0.5163089973426025,0.5167161101318458,0.5166666666666667,0.5163089973426026
