index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.7067448680351907,0.7067448680351907,0.7067448680351907,0.7067448680351907,0.7279884926943752,0.7071895424836601,0.7000351864883885,0.728194741477474,0.7067448680351907,0.6999036241051179
1,MAPS,1,ind,0.7302052785923754,0.7302052785923754,0.7302052785923754,0.7302052785923754,0.7482777777777778,0.7305985552115584,0.725423610138636,0.7484763766699251,0.7302052785923754,0.7253173508396641
2,MAPS,2,ind,0.718475073313783,0.718475073313783,0.718475073313783,0.718475073313783,0.7408963585434174,0.718919848641211,0.7120337790288529,0.7411140409242876,0.718475073313783,0.7119074791409131
3,MAPS,3,ind,0.6891495601173021,0.6891495601173021,0.6891495601173021,0.6891495601173021,0.7225585149313962,0.6897144822841417,0.6774291425715713,0.7228135451208167,0.6891495601173021,0.6772488284554832
4,haryoaw/COPAL,0,ind,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5727086533538146,0.5690732206861239,0.5635034036748672,0.5727393386808239,0.5688729874776386,0.5634167974844999
5,haryoaw/COPAL,1,ind,0.6010733452593918,0.6010733452593918,0.6010733452593918,0.6010733452593918,0.6043712385175799,0.6012288786482335,0.5981101113235346,0.6044052374171489,0.6010733452593918,0.5980483772832044
6,haryoaw/COPAL,2,ind,0.556350626118068,0.556350626118068,0.556350626118068,0.556350626118068,0.5565256999153173,0.5563940092165899,0.5561105561105562,0.5565321841300301,0.556350626118068,0.5560920891869015
7,haryoaw/COPAL,3,ind,0.5670840787119857,0.5670840787119857,0.5670840787119857,0.5670840787119857,0.5672347027747859,0.567121095750128,0.5669163785375848,0.5672412516470815,0.5670840787119857,0.5669011330671848
8,MABL/id,0,ind,0.5982456140350877,0.5982456140350877,0.5982456140350877,0.5982456140350877,0.6000238151940938,0.5982456140350877,0.5964520676691729,0.6000238151940939,0.5982456140350877,0.5964520676691729
9,MABL/id,1,ind,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5787002131561065,0.5780701754385965,0.5772240379522267,0.5787002131561065,0.5780701754385965,0.5772240379522267
10,MABL/id,2,ind,0.612280701754386,0.612280701754386,0.612280701754386,0.612280701754386,0.6139017597322309,0.612280701754386,0.6108962637145399,0.6139017597322309,0.612280701754386,0.6108962637145398
11,MABL/id,3,ind,0.6096491228070176,0.6096491228070176,0.6096491228070176,0.6096491228070176,0.6112797878421561,0.6096491228070176,0.6082138397128909,0.6112797878421561,0.6096491228070176,0.6082138397128909
12,MABL/jv,0,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5385599803288217,0.5383333333333333,0.5376539414862395,0.5385599803288216,0.5383333333333333,0.5376539414862395
13,MABL/jv,1,ind,0.535,0.535,0.535,0.535,0.5352447552447552,0.535,0.5341913043478261,0.5352447552447552,0.535,0.5341913043478261
14,MABL/jv,2,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.538747065892474,0.5383333333333333,0.5370976412033234,0.5387470658924741,0.5383333333333333,0.5370976412033234
15,MABL/jv,3,ind,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5369028448738593,0.5366666666666666,0.5359241452991454,0.5369028448738593,0.5366666666666666,0.5359241452991454
16,MABL/su,0,ind,0.54,0.54,0.54,0.54,0.5467508181393175,0.54,0.5227720717916796,0.5467508181393175,0.54,0.5227720717916797
17,MABL/su,1,ind,0.535,0.535,0.535,0.535,0.5423529411764706,0.5349999999999999,0.5139019963702358,0.5423529411764706,0.535,0.5139019963702358
18,MABL/su,2,ind,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5793650793650794,0.5666666666666667,0.548611111111111,0.5793650793650794,0.5666666666666667,0.548611111111111
19,MABL/su,3,ind,0.555,0.555,0.555,0.555,0.5665546218487395,0.5549999999999999,0.5348094373865698,0.5665546218487395,0.555,0.5348094373865698
20,IndoStoryCloze,0,ind,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.5,0.19779735682819383,0.2834595959595959,1.0,0.39559471365638765,0.5669191919191918
21,IndoStoryCloze,1,ind,0.38502202643171807,0.38502202643171807,0.3850220264317181,0.38502202643171807,0.5,0.19251101321585903,0.2779898218829516,1.0,0.38502202643171807,0.5559796437659033
22,IndoStoryCloze,2,ind,0.37797356828193834,0.37797356828193834,0.37797356828193834,0.37797356828193834,0.5,0.18898678414096917,0.2742966751918159,1.0,0.37797356828193834,0.5485933503836318
23,IndoStoryCloze,3,ind,0.3762114537444934,0.3762114537444934,0.3762114537444934,0.3762114537444934,0.5,0.1881057268722467,0.2733674775928297,1.0,0.3762114537444934,0.5467349551856594
24,IndoMMLU,0,ind,0.39616848007476135,0.39616848007476135,0.3961684800747614,0.39616848007476135,0.4033889855128822,0.3496533784636028,0.3517568592380732,0.40261502506958874,0.39616848007476135,0.38468592264632173
25,IndoMMLU,1,ind,0.3999065482945064,0.3999065482945064,0.3999065482945064,0.3999065482945064,0.4282432407473851,0.3507557572612142,0.35175575899478584,0.41538394127075173,0.3999065482945064,0.3854939018033119
26,IndoMMLU,2,ind,0.4031773579867833,0.4031773579867833,0.4031773579867833,0.4031773579867833,0.4226184129890266,0.3543462545943143,0.35532028884436306,0.4164188417377939,0.4031773579867833,0.38911011516418964
