index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.8651026392961877,0.8651026392961877,0.8651026392961877,0.8651026392961877,0.8663216011042099,0.8651874785001721,0.8650086058519795,0.8663857569888425,0.8651026392961877,0.8649981576915118
1,MAPS,1,ind,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8695269337016575,0.8681286549707603,0.867921605081726,0.8695979690866965,0.8680351906158358,0.867910246528315
2,MAPS,2,ind,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8717515682084511,0.8710354317165463,0.8709133457223484,0.8718038232933156,0.8709677419354839,0.8709055748347576
3,MAPS,3,ind,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8695269337016575,0.8681286549707603,0.867921605081726,0.8695979690866965,0.8680351906158358,0.867910246528315
4,haryoaw/COPAL,0,ind,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6984187133901962,0.6977278545826933,0.6974265353511089,0.698441267777637,0.6976744186046512,0.6974110426477627
5,haryoaw/COPAL,1,ind,0.7119856887298748,0.7119856887298748,0.7119856887298749,0.7119856887298748,0.7162112789999739,0.7121095750128008,0.7106485723563434,0.7162661567956894,0.7119856887298748,0.7106133850833558
6,haryoaw/COPAL,2,ind,0.5831842576028623,0.5831842576028623,0.5831842576028623,0.5831842576028623,0.5832500832500833,0.5832053251408089,0.5831362319768278,0.5832551467614079,0.5831842576028623,0.5831282277058222
7,haryoaw/COPAL,3,ind,0.5885509838998211,0.5885509838998211,0.5885509838998211,0.5885509838998211,0.5885500678495532,0.5885432667690732,0.5885391331063263,0.5885502510596068,0.5885509838998211,0.5885430833708245
8,MABL/id,0,ind,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6553740416158522,0.6517543859649123,0.6497142870411003,0.6553740416158521,0.6517543859649123,0.6497142870411003
9,MABL/id,1,ind,0.624561403508772,0.624561403508772,0.624561403508772,0.624561403508772,0.6263597647029437,0.6245614035087719,0.6232208164475634,0.6263597647029436,0.624561403508772,0.6232208164475634
10,MABL/id,2,ind,0.6482456140350877,0.6482456140350877,0.6482456140350877,0.6482456140350877,0.6517815782258903,0.6482456140350877,0.6461849599583911,0.6517815782258903,0.6482456140350877,0.6461849599583911
11,MABL/id,3,ind,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6607525601333651,0.6578947368421053,0.6563674812030076,0.6607525601333651,0.6578947368421053,0.6563674812030076
12,MABL/jv,0,ind,0.565,0.565,0.565,0.565,0.5669344042838018,0.565,0.5618342524741256,0.5669344042838019,0.565,0.5618342524741256
13,MABL/jv,1,ind,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5497717365187245,0.5483333333333333,0.5450462927988047,0.5497717365187245,0.5483333333333333,0.5450462927988047
14,MABL/jv,2,ind,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5700527388912303,0.5683333333333334,0.5656682253047169,0.5700527388912303,0.5683333333333334,0.565668225304717
15,MABL/jv,3,ind,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5448977712285872,0.5433333333333333,0.5393203012912482,0.5448977712285872,0.5433333333333333,0.5393203012912483
16,MABL/su,0,ind,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5566618099401004,0.5466666666666666,0.5257523450849113,0.5566618099401004,0.5466666666666666,0.5257523450849113
17,MABL/su,1,ind,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5885514628152501,0.5716666666666667,0.550226199469722,0.5885514628152501,0.5716666666666667,0.550226199469722
18,MABL/su,2,ind,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5891627401232331,0.5683333333333334,0.5415591120289107,0.589162740123233,0.5683333333333334,0.5415591120289107
19,MABL/su,3,ind,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.6319868419271433,0.6083333333333333,0.5899625150128973,0.6319868419271433,0.6083333333333333,0.5899625150128973
20,IndoStoryCloze,0,ind,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.5,0.2145374449339207,0.3002466091245376,1.0,0.4290748898678414,0.6004932182490752
21,IndoStoryCloze,1,ind,0.42026431718061674,0.42026431718061674,0.4202643171806167,0.42026431718061674,0.5,0.21013215859030837,0.29590570719602977,1.0,0.42026431718061674,0.5918114143920595
22,IndoStoryCloze,2,ind,0.4149779735682819,0.4149779735682819,0.4149779735682819,0.4149779735682819,0.5,0.20748898678414096,0.2932752179327522,1.0,0.4149779735682819,0.5865504358655044
23,IndoStoryCloze,3,ind,0.41409691629955947,0.41409691629955947,0.4140969162995595,0.41409691629955947,0.5,0.20704845814977973,0.29283489096573206,1.0,0.41409691629955947,0.5856697819314641
24,IndoMMLU,0,ind,0.40838395300714236,0.40838395300714236,0.40838395300714236,0.40838395300714236,0.5190552801674305,0.3876216441780128,0.3682924088766106,0.5379691311968818,0.40838395300714236,0.38036824508328493
25,IndoMMLU,1,ind,0.42393698685001,0.42393698685001,0.42393698685001,0.42393698685001,0.5496333851023351,0.39959855564945934,0.3855688502244226,0.5690612886009098,0.42393698685001,0.3985398088026957
26,IndoMMLU,2,ind,0.4248047526867365,0.4248047526867365,0.4248047526867365,0.4248047526867365,0.5439581383085279,0.40234903318580734,0.386458539692436,0.564532601406557,0.4248047526867365,0.39889469538705996
