index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5007418397626113,0.5000343997248022,0.34417141822789393,0.500744015245786,0.501466275659824,0.34511330360173786
1,MAPS,1,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.752212389380531,0.5058823529411764,0.346922024623803,0.7514857394960164,0.5073313782991202,0.3478711923970297
2,MAPS,2,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
3,MAPS,3,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
4,haryoaw/COPAL,0,ind,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5063424947145878,0.5033026113671275,0.4353781537030578,0.5063519498349136,0.5026833631484794,0.4350294220479002
5,haryoaw/COPAL,1,ind,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.5280196423336265,0.5244687660010241,0.5087419056429232,0.5280390864240652,0.5241502683363148,0.5085862656157172
6,haryoaw/COPAL,2,ind,0.629695885509839,0.629695885509839,0.629695885509839,0.629695885509839,0.6297142637683386,0.6297043010752688,0.6296911452682917,0.6297179394200384,0.629695885509839,0.6296887751475181
7,haryoaw/COPAL,3,ind,0.5957066189624329,0.5957066189624329,0.5957066189624329,0.5957066189624329,0.5957062754435825,0.5956989247311828,0.5956949742696945,0.5957063441473526,0.5957066189624329,0.5956988558339407
8,MABL/id,0,ind,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6036360359334833,0.6008771929824561,0.5982031850937797,0.6036360359334833,0.6008771929824561,0.5982031850937797
9,MABL/id,1,ind,0.5956140350877193,0.5956140350877193,0.5956140350877193,0.5956140350877193,0.5995255197337015,0.5956140350877193,0.5916013835538623,0.5995255197337016,0.5956140350877193,0.5916013835538623
10,MABL/id,2,ind,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.609490453200835,0.6052631578947368,0.6014159446053629,0.609490453200835,0.6052631578947368,0.6014159446053629
11,MABL/id,3,ind,0.5991228070175438,0.5991228070175438,0.5991228070175438,0.5991228070175438,0.6022059733607532,0.5991228070175438,0.5960765979815459,0.6022059733607532,0.5991228070175438,0.5960765979815459
12,MABL/jv,0,ind,0.52,0.52,0.52,0.52,0.5204396802325582,0.52,0.5174047097725547,0.5204396802325582,0.52,0.5174047097725546
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5238951344954712,0.5233333333333333,0.5205150272155223,0.5238951344954713,0.5233333333333333,0.5205150272155223
14,MABL/jv,2,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5186484928627131,0.5183333333333333,0.5162896571347275,0.5186484928627131,0.5183333333333333,0.5162896571347275
15,MABL/jv,3,ind,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5119113793377272,0.5116666666666667,0.5091455838459198,0.5119113793377273,0.5116666666666667,0.5091455838459198
16,MABL/su,0,ind,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5106113555653022,0.5083333333333333,0.48044933793982025,0.5106113555653022,0.5083333333333333,0.4804493379398203
17,MABL/su,1,ind,0.49833333333333335,0.49833333333333335,0.49833333333333335,0.49833333333333335,0.4979256268064333,0.4983333333333333,0.4724095924466348,0.4979256268064334,0.49833333333333335,0.4724095924466348
18,MABL/su,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5308388157894737,0.5233333333333333,0.4924518479958355,0.5308388157894736,0.5233333333333333,0.4924518479958356
19,MABL/su,3,ind,0.52,0.52,0.52,0.52,0.5248015873015872,0.52,0.49558638083228246,0.5248015873015873,0.52,0.4955863808322824
20,IndoStoryCloze,0,ind,0.49162995594713654,0.49162995594713654,0.49162995594713654,0.49162995594713654,0.5,0.24581497797356827,0.3295924394565859,1.0,0.49162995594713654,0.6591848789131718
21,IndoStoryCloze,1,ind,0.4933920704845815,0.4933920704845815,0.4933920704845815,0.4933920704845815,0.5,0.24669603524229075,0.3303834808259587,1.0,0.4933920704845815,0.6607669616519174
22,IndoStoryCloze,2,ind,0.4458149779735683,0.4458149779735683,0.4458149779735682,0.4458149779735683,0.5,0.22290748898678414,0.30834856794637416,1.0,0.4458149779735683,0.6166971358927483
23,IndoStoryCloze,3,ind,0.43612334801762115,0.43612334801762115,0.43612334801762115,0.43612334801762115,0.5,0.21806167400881057,0.303680981595092,1.0,0.43612334801762115,0.607361963190184
24,IndoMMLU,0,ind,0.23349576129764368,0.23349576129764368,0.23349576129764368,0.23349576129764368,0.2193523549951483,0.21913546886017782,0.18068026002314264,0.23932139241679148,0.23349576129764368,0.20054919286074202
25,IndoMMLU,1,ind,0.24103864895534344,0.24103864895534344,0.24103864895534344,0.24103864895534344,0.2291992935835298,0.22022690442321338,0.20201873070730403,0.2428971024899835,0.24103864895534344,0.21919489944756212
26,IndoMMLU,2,ind,0.2428409318470062,0.2428409318470062,0.2428409318470062,0.2428409318470062,0.23626210005328083,0.22310881054112675,0.21804230933387542,0.24506826315399086,0.2428409318470062,0.23542733715144312
