index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5372112917023096,0.5029927760577915,0.3552721373832298,0.5371109477734937,0.5043988269794721,0.3561814464661337
1,MAPS,1,ind,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49320565435476516,0.494874441004472,0.4621845657276995,0.4932198290214265,0.49560117302052786,0.4625777022840857
2,MAPS,2,ind,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.4780849928876245,0.4915204678362573,0.4000203407068395,0.47813961322025844,0.49266862170087977,0.4007117457888846
3,MAPS,3,ind,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4278996865203762,0.482593739250086,0.36207482993197276,0.4280881420127047,0.4838709677419355,0.3628922536756638
4,haryoaw/COPAL,0,ind,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4994908350305499,0.49978238607270864,0.41588296760710547,0.49949174588022693,0.4991055456171735,0.4154885478061099
5,haryoaw/COPAL,1,ind,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.49552772808586765,0.4944055944055944,0.49600614439324114,0.4569450186027284,0.49440184145014204,0.49552772808586765,0.45668607424378116
6,haryoaw/COPAL,2,ind,0.6261180679785331,0.6261180679785331,0.6261180679785331,0.6261180679785331,0.6261651728553137,0.6261328725038402,0.626098923079385,0.6261704067305115,0.6261180679785331,0.6260941368545979
7,haryoaw/COPAL,3,ind,0.6082289803220036,0.6082289803220036,0.6082289803220036,0.6082289803220036,0.6082532974772699,0.6082117255504352,0.6081838403559027,0.6082510868267911,0.6082289803220036,0.6081913636835861
8,MABL/id,0,ind,0.625438596491228,0.625438596491228,0.625438596491228,0.625438596491228,0.6293403025715727,0.6254385964912281,0.6225923574138297,0.6293403025715727,0.625438596491228,0.6225923574138296
9,MABL/id,1,ind,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.618614657634238,0.6140350877192983,0.6102733680585772,0.6186146576342378,0.6140350877192983,0.6102733680585771
10,MABL/id,2,ind,0.625438596491228,0.625438596491228,0.625438596491228,0.625438596491228,0.6285731862363122,0.6254385964912281,0.6231416629054123,0.6285731862363122,0.625438596491228,0.6231416629054123
11,MABL/id,3,ind,0.625438596491228,0.625438596491228,0.625438596491228,0.625438596491228,0.6280238990510116,0.625438596491228,0.6235380371357708,0.6280238990510116,0.625438596491228,0.6235380371357708
12,MABL/jv,0,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5271997824017408,0.5266666666666666,0.5243359126385958,0.5271997824017408,0.5266666666666666,0.5243359126385959
13,MABL/jv,1,ind,0.525,0.525,0.525,0.525,0.5255754475703325,0.525,0.5223130106851037,0.5255754475703325,0.525,0.5223130106851037
14,MABL/jv,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5236369366530098,0.5233333333333333,0.5217977728483687,0.5236369366530098,0.5233333333333333,0.5217977728483686
15,MABL/jv,3,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5186165111529826,0.5183333333333333,0.5164946700090065,0.5186165111529826,0.5183333333333333,0.5164946700090065
16,MABL/su,0,ind,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5099523613636062,0.5083333333333333,0.48748982942387487,0.5099523613636062,0.5083333333333333,0.4874898294238748
17,MABL/su,1,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5195965719063544,0.5166666666666666,0.49789925666004886,0.5195965719063544,0.5166666666666667,0.49789925666004886
18,MABL/su,2,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.533068783068783,0.5266666666666666,0.5025921255429452,0.5330687830687831,0.5266666666666666,0.5025921255429452
19,MABL/su,3,ind,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5402015437392795,0.5333333333333333,0.5125121871953201,0.5402015437392795,0.5333333333333333,0.5125121871953201
20,IndoStoryCloze,0,ind,0.4889867841409692,0.4889867841409692,0.4889867841409692,0.4889867841409692,0.5,0.2444933920704846,0.32840236686390534,1.0,0.4889867841409692,0.6568047337278107
21,IndoStoryCloze,1,ind,0.4889867841409692,0.4889867841409692,0.4889867841409692,0.4889867841409692,0.5,0.2444933920704846,0.32840236686390534,1.0,0.4889867841409692,0.6568047337278107
22,IndoStoryCloze,2,ind,0.43083700440528633,0.43083700440528633,0.43083700440528633,0.43083700440528633,0.5,0.21541850220264316,0.30110837438423643,1.0,0.43083700440528633,0.6022167487684729
23,IndoStoryCloze,3,ind,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.5,0.2145374449339207,0.3002466091245376,1.0,0.4290748898678414,0.6004932182490752
24,IndoMMLU,0,ind,0.23196048327881985,0.23196048327881985,0.23196048327881985,0.23196048327881985,0.22211313601837562,0.24215014678608907,0.20883452238126723,0.23200555404799886,0.23196048327881985,0.20731188482311802
25,IndoMMLU,1,ind,0.24057139042787531,0.24057139042787531,0.24057139042787531,0.24057139042787531,0.22523299971973926,0.22045761673760653,0.21320361584717565,0.236549025143958,0.24057139042787531,0.228076295374689
26,IndoMMLU,2,ind,0.23469728322541886,0.23469728322541886,0.23469728322541886,0.23469728322541886,0.21570708366895075,0.2094281160633668,0.19401265799698805,0.22852100812854664,0.23469728322541886,0.21121450979284023
